GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0010906	regulation of glucose metabolic process	10	8	5.72	0.124	1	BP
GO:0099504	synaptic vesicle cycle	10	8	5.72	0.124	1	BP
GO:0051225	spindle assembly	10	8	5.72	0.124	1	BP
GO:0097061	dendritic spine organization	10	8	5.72	0.124	1	BP
GO:0017157	regulation of exocytosis	10	8	5.72	0.124	1	BP
GO:0006997	nucleus organization	10	8	5.72	0.124	1	BP
GO:0006959	humoral immune response	10	8	5.72	0.124	1	BP
GO:0000003	reproduction	151	93	86.32	0.1242	1	BP
GO:0048598	embryonic morphogenesis	60	39	34.3	0.125	1	BP
GO:0051173	positive regulation of nitrogen compound...	163	100	93.18	0.1252	1	BP
GO:0044703	multi-organism reproductive process	112	70	64.02	0.1259	1	BP
GO:0051171	regulation of nitrogen compound metaboli...	263	158	150.34	0.1269	1	BP
GO:0045666	positive regulation of neuron differenti...	29	20	16.58	0.1305	1	BP
GO:0048754	branching morphogenesis of an epithelial...	21	15	12	0.131	1	BP
GO:0010976	positive regulation of neuron projection...	21	15	12	0.131	1	BP
GO:0048839	inner ear development	21	15	12	0.131	1	BP
GO:0051963	regulation of synapse assembly	21	15	12	0.131	1	BP
GO:0003006	developmental process involved in reprod...	97	61	55.45	0.1312	1	BP
GO:0048585	negative regulation of response to stimu...	97	61	55.45	0.1312	1	BP
GO:0003013	circulatory system process	47	31	26.87	0.1331	1	BP
GO:0008015	blood circulation	47	31	26.87	0.1331	1	BP
GO:0031328	positive regulation of cellular biosynth...	114	71	65.17	0.134	1	BP
GO:0070925	organelle assembly	52	34	29.73	0.1351	1	BP
GO:0007167	enzyme-linked receptor protein signaling...	52	34	29.73	0.1351	1	BP
GO:0001505	regulation of neurotransmitter levels	43	33	24.58	0.1374	1	BP
GO:0006355	regulation of DNA-templated transcriptio...	155	95	88.6	0.1378	1	BP
GO:0090304	nucleic acid metabolic process	236	142	134.91	0.1412	1	BP
GO:0006351	DNA-templated transcription	162	99	92.61	0.1415	1	BP
GO:0009953	dorsal/ventral pattern formation	18	13	10.29	0.1425	1	BP
GO:0016197	endosomal transport	18	13	10.29	0.1425	1	BP
GO:0007369	gastrulation	18	13	10.29	0.1425	1	BP
GO:0009749	response to glucose	18	13	10.29	0.1425	1	BP
GO:0071396	cellular response to lipid	26	18	14.86	0.1429	1	BP
GO:0034329	cell junction assembly	44	29	25.15	0.1455	1	BP
GO:0007186	G protein-coupled receptor signaling pat...	49	32	28.01	0.1476	1	BP
GO:0007017	microtubule-based process	59	38	33.73	0.1493	1	BP
GO:0050807	regulation of synapse organization	31	21	17.72	0.1507	1	BP
GO:0003015	heart process	31	21	17.72	0.1507	1	BP
