GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0051050	positive regulation of transport	68	58	54.44	0.1639	1	BP
GO:0019220	regulation of phosphate metabolic proces...	90	76	72.05	0.1645	1	BP
GO:0051174	regulation of phosphorus metabolic proce...	90	76	72.05	0.1645	1	BP
GO:0000904	cell morphogenesis involved in different...	79	67	63.25	0.165	1	BP
GO:0097553	calcium ion transmembrane import into cy...	15	14	12.01	0.1654	1	BP
GO:0016570	histone modification	15	14	12.01	0.1654	1	BP
GO:0030431	sleep	15	14	12.01	0.1654	1	BP
GO:0043406	positive regulation of MAP kinase activi...	15	14	12.01	0.1654	1	BP
GO:0002253	activation of immune response	15	14	12.01	0.1654	1	BP
GO:0010212	response to ionizing radiation	15	14	12.01	0.1654	1	BP
GO:0048771	tissue remodeling	15	14	12.01	0.1654	1	BP
GO:0009165	nucleotide biosynthetic process	15	14	12.01	0.1654	1	BP
GO:0030968	endoplasmic reticulum unfolded protein r...	15	14	12.01	0.1654	1	BP
GO:0007601	visual perception	15	14	12.01	0.1654	1	BP
GO:0050953	sensory perception of light stimulus	15	14	12.01	0.1654	1	BP
GO:0060402	calcium ion transport into cytosol	15	14	12.01	0.1654	1	BP
GO:1901293	nucleoside phosphate biosynthetic proces...	15	14	12.01	0.1654	1	BP
GO:1903050	regulation of proteolysis involved in pr...	15	14	12.01	0.1654	1	BP
GO:1903039	positive regulation of leukocyte cell-ce...	8	8	6.4	0.167	1	BP
GO:1903008	organelle disassembly	8	8	6.4	0.167	1	BP
GO:0062149	detection of stimulus involved in sensor...	8	8	6.4	0.167	1	BP
GO:1904659	glucose transmembrane transport	8	8	6.4	0.167	1	BP
GO:0051899	membrane depolarization	8	8	6.4	0.167	1	BP
GO:1901655	cellular response to ketone	8	8	6.4	0.167	1	BP
GO:0051591	response to cAMP	8	8	6.4	0.167	1	BP
GO:0150115	cell-substrate junction organization	8	8	6.4	0.167	1	BP
GO:0046323	glucose import	8	8	6.4	0.167	1	BP
GO:0001952	regulation of cell-matrix adhesion	8	8	6.4	0.167	1	BP
GO:0016573	histone acetylation	8	8	6.4	0.167	1	BP
